ticker,date,strategy,signal,horizon,entry_price,future_price,markout_pct,timesteps
AAPL,2025-10-27,RL,BUY,1,268.3,268.49,0.0707,100000
AAPL,2025-10-27,RL,BUY,2,268.3,269.19,0.3311,100000
AAPL,2025-10-27,RL,BUY,3,268.3,270.88,0.9635,100000
AAPL,2025-10-27,RL,BUY,5,268.3,268.54,0.0893,100000
AAPL,2025-10-27,RL,BUY,10,268.3,269.18,0.3278,100000
AAPL,2025-10-27,RL,BUY,21,268.3,276.71,3.1355,100000
AAPL,2025-10-28,Hybrid,BUY,1,268.49,269.19,0.2602,100000
AAPL,2025-10-28,Hybrid,BUY,2,268.49,270.88,0.8922,100000
AAPL,2025-10-28,Hybrid,BUY,3,268.49,269.86,0.5093,100000
AAPL,2025-10-28,Hybrid,BUY,5,268.49,269.53,0.3866,100000
AAPL,2025-10-28,Hybrid,BUY,10,268.49,274.99,2.4226,100000
AAPL,2025-10-28,Hybrid,BUY,21,268.49,277.29,3.2785,100000
AAPL,2025-10-28,RL,BUY,1,268.49,269.19,0.2602,100000
AAPL,2025-10-28,RL,BUY,2,268.49,270.88,0.8922,100000
AAPL,2025-10-28,RL,BUY,3,268.49,269.86,0.5093,100000
AAPL,2025-10-28,RL,BUY,5,268.49,269.53,0.3866,100000
AAPL,2025-10-28,RL,BUY,10,268.49,274.99,2.4226,100000
AAPL,2025-10-28,RL,BUY,21,268.49,277.29,3.2785,100000
AAPL,2025-10-29,Hybrid,BUY,1,269.19,270.88,0.6303,100000
AAPL,2025-10-29,Hybrid,BUY,2,269.19,269.86,0.2484,100000
AAPL,2025-10-29,Hybrid,BUY,3,269.19,268.54,-0.241,100000
AAPL,2025-10-29,Hybrid,BUY,5,269.19,269.63,0.1632,100000
AAPL,2025-10-29,Hybrid,BUY,10,269.19,273.21,1.4961,100000
AAPL,2025-10-29,Hybrid,BUY,21,269.19,278.59,3.4929,100000
AAPL,2025-10-29,RL,BUY,1,269.19,270.88,0.6303,100000
AAPL,2025-10-29,RL,BUY,2,269.19,269.86,0.2484,100000
AAPL,2025-10-29,RL,BUY,3,269.19,268.54,-0.241,100000
AAPL,2025-10-29,RL,BUY,5,269.19,269.63,0.1632,100000
AAPL,2025-10-29,RL,BUY,10,269.19,273.21,1.4961,100000
AAPL,2025-10-29,RL,BUY,21,269.19,278.59,3.4929,100000
AAPL,2025-10-30,Hybrid,BUY,1,270.88,269.86,-0.3795,100000
AAPL,2025-10-30,Hybrid,BUY,2,270.88,268.54,-0.8659,100000
AAPL,2025-10-30,Hybrid,BUY,3,270.88,269.53,-0.5011,100000
AAPL,2025-10-30,Hybrid,BUY,5,270.88,269.26,-0.6006,100000
AAPL,2025-10-30,Hybrid,BUY,10,270.88,272.69,0.6686,100000
AAPL,2025-10-30,Hybrid,BUY,21,270.88,282.84,4.4121,100000
AAPL,2025-10-30,RL,BUY,1,270.88,269.86,-0.3795,100000
AAPL,2025-10-30,RL,BUY,2,270.88,268.54,-0.8659,100000
AAPL,2025-10-30,RL,BUY,3,270.88,269.53,-0.5011,100000
AAPL,2025-10-30,RL,BUY,5,270.88,269.26,-0.6006,100000
AAPL,2025-10-30,RL,BUY,10,270.88,272.69,0.6686,100000
AAPL,2025-10-30,RL,BUY,21,270.88,282.84,4.4121,100000
AAPL,2025-10-31,Hybrid,BUY,1,269.86,268.54,-0.4882,100000
AAPL,2025-10-31,Hybrid,BUY,2,269.86,269.53,-0.1221,100000
AAPL,2025-10-31,Hybrid,BUY,3,269.86,269.63,-0.0851,100000
AAPL,2025-10-31,Hybrid,BUY,5,269.86,267.96,-0.7027,100000
AAPL,2025-10-31,Hybrid,BUY,10,269.86,272.16,0.8522,100000
AAPL,2025-10-31,Hybrid,BUY,21,269.86,285.92,5.9539,100000
AAPL,2025-10-31,RL,BUY,1,269.86,268.54,-0.4882,100000
AAPL,2025-10-31,RL,BUY,2,269.86,269.53,-0.1221,100000
AAPL,2025-10-31,RL,BUY,3,269.86,269.63,-0.0851,100000
AAPL,2025-10-31,RL,BUY,5,269.86,267.96,-0.7027,100000
AAPL,2025-10-31,RL,BUY,10,269.86,272.16,0.8522,100000
AAPL,2025-10-31,RL,BUY,21,269.86,285.92,5.9539,100000
AAPL,2025-11-03,Hybrid,BUY,1,268.54,269.53,0.368,100000
AAPL,2025-11-03,Hybrid,BUY,2,268.54,269.63,0.4051,100000
AAPL,2025-11-03,Hybrid,BUY,3,268.54,269.26,0.2676,100000
AAPL,2025-11-03,Hybrid,BUY,5,268.54,269.18,0.2383,100000
AAPL,2025-11-03,Hybrid,BUY,10,268.54,267.21,-0.4946,100000
AAPL,2025-11-03,Hybrid,BUY,21,268.54,283.88,5.7147,100000
AAPL,2025-11-03,RL,BUY,1,268.54,269.53,0.368,100000
AAPL,2025-11-03,RL,BUY,2,268.54,269.63,0.4051,100000
AAPL,2025-11-03,RL,BUY,3,268.54,269.26,0.2676,100000
AAPL,2025-11-03,RL,BUY,5,268.54,269.18,0.2383,100000
AAPL,2025-11-03,RL,BUY,10,268.54,267.21,-0.4946,100000
AAPL,2025-11-03,RL,BUY,21,268.54,283.88,5.7147,100000
AAPL,2025-11-04,Hybrid,BUY,1,269.53,269.63,0.037,100000
AAPL,2025-11-04,Hybrid,BUY,2,269.53,269.26,-0.1,100000
AAPL,2025-11-04,Hybrid,BUY,3,269.53,267.96,-0.5814,100000
AAPL,2025-11-04,Hybrid,BUY,5,269.53,274.99,2.0282,100000
AAPL,2025-11-04,Hybrid,BUY,10,269.53,267.19,-0.8668,100000
AAPL,2025-11-04,Hybrid,BUY,21,269.53,280.44,4.0483,100000
AAPL,2025-11-04,RL,BUY,1,269.53,269.63,0.037,100000
AAPL,2025-11-04,RL,BUY,2,269.53,269.26,-0.1,100000
AAPL,2025-11-04,RL,BUY,3,269.53,267.96,-0.5814,100000
AAPL,2025-11-04,RL,BUY,5,269.53,274.99,2.0282,100000
AAPL,2025-11-04,RL,BUY,10,269.53,267.19,-0.8668,100000
AAPL,2025-11-04,RL,BUY,21,269.53,280.44,4.0483,100000
AAPL,2025-11-05,Hybrid,BUY,1,269.63,269.26,-0.137,100000
AAPL,2025-11-05,Hybrid,BUY,2,269.63,267.96,-0.6182,100000
AAPL,2025-11-05,Hybrid,BUY,3,269.63,269.18,-0.1661,100000
AAPL,2025-11-05,Hybrid,BUY,5,269.63,273.21,1.3308,100000
AAPL,2025-11-05,Hybrid,BUY,10,269.63,268.31,-0.4885,100000
AAPL,2025-11-05,Hybrid,BUY,21,269.63,278.52,3.2984,100000
AAPL,2025-11-05,RL,BUY,1,269.63,269.26,-0.137,100000
AAPL,2025-11-05,RL,BUY,2,269.63,267.96,-0.6182,100000
AAPL,2025-11-05,RL,BUY,3,269.63,269.18,-0.1661,100000
AAPL,2025-11-05,RL,BUY,5,269.63,273.21,1.3308,100000
AAPL,2025-11-05,RL,BUY,10,269.63,268.31,-0.4885,100000
AAPL,2025-11-05,RL,BUY,21,269.63,278.52,3.2984,100000
AAPL,2025-11-06,Hybrid,BUY,1,269.26,267.96,-0.4819,100000
AAPL,2025-11-06,Hybrid,BUY,2,269.26,269.18,-0.0292,100000
AAPL,2025-11-06,Hybrid,BUY,3,269.26,274.99,2.1303,100000
AAPL,2025-11-06,Hybrid,BUY,5,269.26,272.69,1.2769,100000
AAPL,2025-11-06,Hybrid,BUY,10,269.26,266.0,-1.2091,100000
AAPL,2025-11-06,Hybrid,BUY,21,269.26,277.63,3.1098,100000
AAPL,2025-11-06,RL,BUY,1,269.26,267.96,-0.4819,100000
AAPL,2025-11-06,RL,BUY,2,269.26,269.18,-0.0292,100000
AAPL,2025-11-06,RL,BUY,3,269.26,274.99,2.1303,100000
AAPL,2025-11-06,RL,BUY,5,269.26,272.69,1.2769,100000
AAPL,2025-11-06,RL,BUY,10,269.26,266.0,-1.2091,100000
AAPL,2025-11-06,RL,BUY,21,269.26,277.63,3.1098,100000
AAPL,2025-11-07,Hybrid,BUY,1,267.96,269.18,0.4549,100000
AAPL,2025-11-07,Hybrid,BUY,2,267.96,274.99,2.6248,100000
AAPL,2025-11-07,Hybrid,BUY,3,267.96,273.21,1.9612,100000
AAPL,2025-11-07,Hybrid,BUY,5,267.96,272.16,1.5659,100000
AAPL,2025-11-07,Hybrid,BUY,10,267.96,271.24,1.2229,100000
AAPL,2025-11-07,Hybrid,BUY,21,267.96,276.92,3.3444,100000
AAPL,2025-11-07,RL,BUY,1,267.96,269.18,0.4549,100000
AAPL,2025-11-07,RL,BUY,2,267.96,274.99,2.6248,100000
AAPL,2025-11-07,RL,BUY,3,267.96,273.21,1.9612,100000
AAPL,2025-11-07,RL,BUY,5,267.96,272.16,1.5659,100000
AAPL,2025-11-07,RL,BUY,10,267.96,271.24,1.2229,100000
AAPL,2025-11-07,RL,BUY,21,267.96,276.92,3.3444,100000
AAPL,2025-11-10,Hybrid,BUY,1,269.18,274.99,2.1601,100000
AAPL,2025-11-10,Hybrid,BUY,2,269.18,273.21,1.4995,100000
AAPL,2025-11-10,Hybrid,BUY,3,269.18,272.69,1.3065,100000
AAPL,2025-11-10,Hybrid,BUY,5,269.18,267.21,-0.7312,100000
AAPL,2025-11-10,Hybrid,BUY,10,269.18,275.66,2.4088,100000
AAPL,2025-11-10,Hybrid,BUY,21,269.18,278.52,3.4703,100000
AAPL,2025-11-10,RL,BUY,1,269.18,274.99,2.1601,100000
AAPL,2025-11-10,RL,BUY,2,269.18,273.21,1.4995,100000
AAPL,2025-11-10,RL,BUY,3,269.18,272.69,1.3065,100000
AAPL,2025-11-10,RL,BUY,5,269.18,267.21,-0.7312,100000
AAPL,2025-11-10,RL,BUY,10,269.18,275.66,2.4088,100000
AAPL,2025-11-10,RL,BUY,21,269.18,278.52,3.4703,100000
AAPL,2025-11-11,Hybrid,BUY,1,274.99,273.21,-0.6467,100000
AAPL,2025-11-11,Hybrid,BUY,2,274.99,272.69,-0.8356,100000
AAPL,2025-11-11,Hybrid,BUY,3,274.99,272.16,-1.0318,100000
AAPL,2025-11-11,Hybrid,BUY,5,274.99,267.19,-2.8374,100000
AAPL,2025-11-11,Hybrid,BUY,10,274.99,276.71,0.6249,100000
AAPL,2025-11-11,Hybrid,BUY,21,274.99,277.77,1.01,100000
AAPL,2025-11-11,RL,BUY,1,274.99,273.21,-0.6467,100000
AAPL,2025-11-11,RL,BUY,2,274.99,272.69,-0.8356,100000
AAPL,2025-11-11,RL,BUY,3,274.99,272.16,-1.0318,100000
AAPL,2025-11-11,RL,BUY,5,274.99,267.19,-2.8374,100000
AAPL,2025-11-11,RL,BUY,10,274.99,276.71,0.6249,100000
AAPL,2025-11-11,RL,BUY,21,274.99,277.77,1.01,100000
AAPL,2025-11-12,Hybrid,BUY,1,273.21,272.69,-0.1901,100000
